This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  5
ME portfolios and  5 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                      Small                                 2                                  3                                  4                                Big                
          Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High 
192607   5.83 -10.14  -0.41  -1.41  -0.66   1.29   4.63   0.71  -0.89   1.27   1.91   2.71   0.53   3.05  -1.08   1.74   1.28   1.15   0.61   2.88   3.47   6.08   2.05   2.79   0.56
192608  -2.03  -4.29   2.42   1.21   4.92   1.98  -2.77   3.83   1.47   7.27  -0.94   1.58   2.98   4.49   8.28   1.27   4.08   1.93   2.02   4.80   1.07   4.10   1.73   5.55   7.76
192609  -4.88  -2.48  -6.16   3.09   0.75  -2.40  -1.40  -0.17  -0.64  -0.82  -0.39   1.10  -2.00   1.62  -3.70   1.49  -0.73  -1.64   1.43   1.97  -1.35   3.66  -0.23  -0.30  -2.43
192610  -9.39  -6.62  -5.16   0.04  -3.40  -3.62  -2.52  -7.09  -4.75  -0.53  -5.12  -2.11  -0.83  -2.09  -2.68  -2.66  -1.85  -2.01  -2.93  -5.59  -2.75  -3.14  -2.18  -4.49  -5.81
192611   5.63   5.32   2.02  -3.37   1.44   2.35  -2.08   4.62   2.50   1.57   1.91   4.59   2.43   4.29   3.60   3.66   1.85   3.81   4.85   1.86   4.30   2.61   1.52   3.35   2.56
192612  14.87   0.73  -0.52   5.22   2.19   2.91   3.67   3.54   0.82   4.47  -1.32   2.26  -1.26   2.97  -0.14   2.65   2.69   1.83   3.04   1.70   1.49   3.48   2.08   5.54   2.41
192701   1.15 -10.60  -3.79   4.82   1.65   2.52  -3.92  -1.03   0.03  11.27  -0.63   0.10  -0.71   2.86   2.48   2.03   1.16  -0.49   0.34   7.60  -0.76   0.31  -0.46   0.48   4.22
192702   2.85   0.08  11.67   5.05   9.64   1.98   7.80   8.97   3.38   8.26   6.12   5.01   5.11   6.51  12.50   5.31   3.83   2.90   6.32  11.38   3.44   5.08   3.25   5.04   6.27
192703   5.78   2.62  -6.48  -5.50  -3.24  -2.03  -1.09  -0.70  -1.55  -0.43   0.52  -3.85  -2.10  -2.25  -6.19  -1.67  -1.02  -0.05  -1.08   5.37   0.58   1.98  -0.41   0.60  -3.84
192704   7.89   4.26   4.03   4.73   6.01  -1.86  -4.81  -0.81   3.20   3.86  -2.29   1.03  -1.53   2.17   1.18   0.47   1.72  -0.39   0.29   6.54   2.71   0.85  -0.57  -0.24  -3.53
192705  10.29   7.01   0.99  15.07  12.13   7.72   2.94   5.18   8.44  12.59   3.03   6.21   6.14   8.01  12.36   4.84   5.08   4.37   6.97   7.22   5.66   4.74   5.58   5.34   4.77
192706  -3.41   3.81  -7.35   2.12  -5.02   4.83   5.78   3.48  -1.45  -6.44  -0.69  -3.53  -2.27   0.10   3.54   0.80  -3.27  -3.09  -2.21   0.20  -0.03  -3.10  -2.81  -3.01  -5.36
192707  23.92  13.18   4.67   2.39   5.75   5.27   3.18   7.24   7.00   4.28   2.40   5.60   5.55   3.12   7.68   6.65   6.93   7.54   7.15   2.23  10.42   5.80   6.65   8.59  13.45
192708  12.43  -2.16   0.80  -0.72   0.39  -1.07   5.42  -5.55  -0.37   6.12   1.34   1.89   3.18  -2.10  -5.49   4.61   3.62   1.04  -2.83  -6.29   5.40   1.23   0.49   0.87   3.91
192709  -5.72  -3.51   0.52   0.26   1.00  -0.07   7.20   1.94   0.35  -1.49   5.39   0.62   2.38   1.93   9.74   3.54   3.48   5.27   3.93   9.23   6.15   4.08   5.58   3.99   5.59
192710  -8.76  -8.48  -2.23  -3.17  -8.86   0.82  -1.12  -1.76  -3.33  -4.85  -0.25  -1.69   0.70  -3.79 -10.81   1.11  -2.36  -2.95  -4.58 -10.86  -5.70  -2.23  -4.15  -6.45 -14.55
192711   6.90   9.87  16.53   9.41  11.50  14.75  15.35   7.96   9.21   8.57   6.76   8.57   8.29   6.68   9.89   7.37   8.56   8.00   7.49   7.92   8.06   6.51   6.00   7.04   8.08
192712  -3.99   0.62   3.80   4.31   4.71   3.63   4.15   1.13   1.98   1.11   4.87   5.29   5.50   3.19  10.55   0.24   5.25   3.98   1.82  -2.40   4.39   1.31   1.27   2.45  10.38
192801  -8.24  11.32   5.03   1.89  12.26   2.64   4.58   1.32   3.69   0.84   4.84   2.90   3.52   2.33  -5.98   1.78   1.12   0.52   2.10   1.08  -1.62  -0.26  -0.63  -1.64  -5.06
